Scenario,Region,Sector,Sub-Sector,Species,Units,Year,ems,Source,GWP20,GWP100
BAU,JAPA_WHOL,off-road,TRA_OT_OTHER,co2,Mt,2050,1.2419662500000004,TTW,1.2419662500000004,1.2419662500000004
BAU,KORE_AALL,off-road,TRA_OT_CNS,co2,Mt,2050,3.19,TTW,3.19,3.19
BAU,KORE_AALL,off-road,TRA_OT_AGR,co2,Mt,2050,0.5,TTW,0.5,0.5
BAU,KORE_AALL,off-road,TRA_OT_RAI,co2,Mt,2050,0.09,TTW,0.09,0.09
BAU,KORE_AALL,off-road,TRA_OT_OTHER,co2,Mt,2050,0.6532312500000003,TTW,0.6532312500000003,0.6532312500000003
BAU,LAME_REST,off-road,TRA_OT_CNS,co2,Mt,2050,15.48,TTW,15.48,15.48
BAU,LAME_REST,off-road,TRA_OT_AGR,co2,Mt,2050,6.57,TTW,6.57,6.57
BAU,LAME_REST,off-road,TRA_OT_RAI,co2,Mt,2050,0.05,TTW,0.05,0.05
BAU,LAME_REST,off-road,TRA_OT_OTHER,co2,Mt,2050,1.1460487500000003,TTW,1.1460487500000003,1.1460487500000003
BAU,MEXI_WHOL,off-road,TRA_OT_CNS,co2,Mt,2050,3.81,TTW,3.81,3.81
BAU,MEXI_WHOL,off-road,TRA_OT_AGR,co2,Mt,2050,6.71,TTW,6.71,6.71
BAU,MEXI_WHOL,off-road,TRA_OT_RAI,co2,Mt,2050,-0.44000000000000006,TTW,-0.44000000000000006,-0.44000000000000006
BAU,MEXI_WHOL,off-road,TRA_OT_OTHER,co2,Mt,2050,0.013230000000000004,TTW,0.013230000000000004,0.013230000000000004
BAU,MIDD_EAST,off-road,TRA_OT_CNS,co2,Mt,2050,5.25,TTW,5.25,5.25
BAU,MIDD_EAST,off-road,TRA_OT_AGR,co2,Mt,2050,11.37,TTW,11.37,11.37
BAU,MIDD_EAST,off-road,TRA_OT_RAI,co2,Mt,2050,0.0,TTW,0.0,0.0
BAU,MIDD_EAST,off-road,TRA_OT_OTHER,co2,Mt,2050,1.2981937500000003,TTW,1.2981937500000003,1.2981937500000003
BAU,OCEA_WHOL,off-road,TRA_OT_CNS,co2,Mt,2050,8.05,TTW,8.05,8.05
BAU,OCEA_WHOL,off-road,TRA_OT_AGR,co2,Mt,2050,6.98,TTW,6.98,6.98
BAU,OCEA_WHOL,off-road,TRA_OT_RAI,co2,Mt,2050,4.33,TTW,4.33,4.33
BAU,OCEA_WHOL,off-road,TRA_OT_OTHER,co2,Mt,2050,2.3962837500000007,TTW,2.3962837500000007,2.3962837500000007
BAU,RUSS_PLUS,off-road,TRA_OT_CNS,co2,Mt,2050,16.54,TTW,16.54,16.54
BAU,RUSS_PLUS,off-road,TRA_OT_AGR,co2,Mt,2050,1.21,TTW,1.21,1.21
BAU,RUSS_PLUS,off-road,TRA_OT_RAI,co2,Mt,2050,6.44,TTW,6.44,6.44
BAU,RUSS_PLUS,off-road,TRA_OT_OTHER,co2,Mt,2050,3.408378750000001,TTW,3.408378750000001,3.408378750000001
BAU,SAFR_WHOL,off-road,TRA_OT_CNS,co2,Mt,2050,1.83,TTW,1.83,1.83
BAU,SAFR_WHOL,off-road,TRA_OT_AGR,co2,Mt,2050,1.36,TTW,1.36,1.36
BAU,SAFR_WHOL,off-road,TRA_OT_RAI,co2,Mt,2050,0.47,TTW,0.47,0.47
BAU,SAFR_WHOL,off-road,TRA_OT_OTHER,co2,Mt,2050,1.9778850000000008,TTW,1.9778850000000008,1.9778850000000008
BAU,SOEA_ASIA,off-road,TRA_OT_CNS,co2,Mt,2050,14.81,TTW,14.81,14.81
BAU,SOEA_ASIA,off-road,TRA_OT_AGR,co2,Mt,2050,19.77,TTW,19.77,19.77
BAU,SOEA_ASIA,off-road,TRA_OT_RAI,co2,Mt,2050,3.32,TTW,3.32,3.32
BAU,SOEA_ASIA,off-road,TRA_OT_OTHER,co2,Mt,2050,5.035668750000001,TTW,5.035668750000001,5.035668750000001
BAU,SOUA_REST,off-road,TRA_OT_CNS,co2,Mt,2050,1.82,TTW,1.82,1.82
BAU,SOUA_REST,off-road,TRA_OT_AGR,co2,Mt,2050,1.81,TTW,1.81,1.81
BAU,SOUA_REST,off-road,TRA_OT_RAI,co2,Mt,2050,2.23,TTW,2.23,2.23
BAU,SOUA_REST,off-road,TRA_OT_OTHER,co2,Mt,2050,0.3406725000000001,TTW,0.3406725000000001,0.3406725000000001
BAU,TURK_WHOL,off-road,TRA_OT_CNS,co2,Mt,2050,0.22,TTW,0.22,0.22
BAU,TURK_WHOL,off-road,TRA_OT_AGR,co2,Mt,2050,2.74,TTW,2.74,2.74
BAU,TURK_WHOL,off-road,TRA_OT_RAI,co2,Mt,2050,0.0,TTW,0.0,0.0
BAU,TURK_WHOL,off-road,TRA_OT_OTHER,co2,Mt,2050,0.5308537500000001,TTW,0.5308537500000001,0.5308537500000001
BAU,UKRA_PLUS,off-road,TRA_OT_CNS,co2,Mt,2050,0.38,TTW,0.38,0.38
BAU,UKRA_PLUS,off-road,TRA_OT_AGR,co2,Mt,2050,3.5,TTW,3.5,3.5
BAU,UKRA_PLUS,off-road,TRA_OT_RAI,co2,Mt,2050,0.0,TTW,0.0,0.0
BAU,UKRA_PLUS,off-road,TRA_OT_OTHER,co2,Mt,2050,0.07607250000000003,TTW,0.07607250000000003,0.07607250000000003
BAU,USAM_WHOL,off-road,TRA_OT_CNS,co2,Mt,2050,13.22,TTW,13.22,13.22
BAU,USAM_WHOL,off-road,TRA_OT_AGR,co2,Mt,2050,24.38,TTW,24.38,24.38
BAU,USAM_WHOL,off-road,TRA_OT_RAI,co2,Mt,2050,9.73,TTW,9.73,9.73
BAU,USAM_WHOL,off-road,TRA_OT_OTHER,co2,Mt,2050,35.04461625000001,TTW,35.04461625000001,35.04461625000001
BAU,WEST_EURO,off-road,TRA_OT_CNS,co2,Mt,2050,12.53,TTW,12.53,12.53
BAU,WEST_EURO,off-road,TRA_OT_AGR,co2,Mt,2050,9.81,TTW,9.81,9.81
BAU,WEST_EURO,off-road,TRA_OT_RAI,co2,Mt,2050,0.93,TTW,0.93,0.93
BAU,WEST_EURO,off-road,TRA_OT_OTHER,co2,Mt,2050,4.233600000000002,TTW,4.233600000000002,4.233600000000002
BAU,AFRI_EAST,off-road,TRA_OT_CNS,bc,kt,2050,4.84,TTW,15.488,4.356
BAU,AFRI_EAST,off-road,TRA_OT_AGR,bc,kt,2050,0.15,TTW,0.48,0.135
BAU,AFRI_EAST,off-road,TRA_OT_RAI,bc,kt,2050,0.44,TTW,1.408,0.396
BAU,AFRI_EAST,off-road,TRA_OT_OTHER,bc,kt,2050,0.00535139,TTW,0.017124448,0.0048162510000000006
BAU,AFRI_NORT,off-road,TRA_OT_CNS,bc,kt,2050,3.93,TTW,12.576,3.537
BAU,AFRI_NORT,off-road,TRA_OT_AGR,bc,kt,2050,7.58,TTW,24.256,6.822
BAU,AFRI_NORT,off-road,TRA_OT_RAI,bc,kt,2050,0.25,TTW,0.8,0.225
BAU,AFRI_NORT,off-road,TRA_OT_OTHER,bc,kt,2050,0.01070278,TTW,0.034248896,0.009632502000000001
BAU,AFRI_WEST,off-road,TRA_OT_CNS,bc,kt,2050,8.81,TTW,28.192,7.929
BAU,AFRI_WEST,off-road,TRA_OT_AGR,bc,kt,2050,0.46,TTW,1.472,0.41400000000000003
BAU,AFRI_WEST,off-road,TRA_OT_RAI,bc,kt,2050,1.92,TTW,6.144,1.728
BAU,AFRI_WEST,off-road,TRA_OT_OTHER,bc,kt,2050,0.00535139,TTW,0.017124448,0.0048162510000000006
BAU,ASIA_STAN,off-road,TRA_OT_CNS,bc,kt,2050,1.87,TTW,5.984,1.683
BAU,ASIA_STAN,off-road,TRA_OT_AGR,bc,kt,2050,0.59,TTW,1.8880000000000001,0.531
BAU,ASIA_STAN,off-road,TRA_OT_RAI,bc,kt,2050,0.33,TTW,1.056,0.297
BAU,ASIA_STAN,off-road,TRA_OT_OTHER,bc,kt,2050,0.00535139,TTW,0.017124448,0.0048162510000000006
BAU,BRAZ_WHOL,off-road,TRA_OT_CNS,bc,kt,2050,0.48,TTW,1.536,0.432
BAU,BRAZ_WHOL,off-road,TRA_OT_AGR,bc,kt,2050,12.11,TTW,38.752,10.899000000000001
BAU,BRAZ_WHOL,off-road,TRA_OT_RAI,bc,kt,2050,2.08,TTW,6.656000000000001,1.872
BAU,BRAZ_WHOL,off-road,TRA_OT_OTHER,bc,kt,2050,0.01605417,TTW,0.051373343999999994,0.014448753
BAU,CANA_WHOL,off-road,TRA_OT_CNS,bc,kt,2050,0.48,TTW,1.536,0.432
BAU,CANA_WHOL,off-road,TRA_OT_AGR,bc,kt,2050,0.49,TTW,1.568,0.441
BAU,CANA_WHOL,off-road,TRA_OT_RAI,bc,kt,2050,0.01,TTW,0.032,0.009000000000000001
BAU,CANA_WHOL,off-road,TRA_OT_OTHER,bc,kt,2050,0.02675695,TTW,0.08562224,0.024081255000000003
BAU,CEAM_REST,off-road,TRA_OT_CNS,bc,kt,2050,1.21,TTW,3.872,1.089
BAU,CEAM_REST,off-road,TRA_OT_AGR,bc,kt,2050,0.35,TTW,1.12,0.315
BAU,CEAM_REST,off-road,TRA_OT_RAI,bc,kt,2050,0.0,TTW,0.0,0.0
BAU,CEAM_REST,off-road,TRA_OT_OTHER,bc,kt,2050,0.39065147,TTW,1.250084704,0.351586323
BAU,CENT_EURO,off-road,TRA_OT_CNS,bc,kt,2050,0.03,TTW,0.096,0.027
BAU,CENT_EURO,off-road,TRA_OT_AGR,bc,kt,2050,0.05,TTW,0.16,0.045
BAU,CENT_EURO,off-road,TRA_OT_RAI,bc,kt,2050,0.02,TTW,0.064,0.018000000000000002
