Scenario,Sector,Sub-Sector,Species,Units,Year,ems
BAU,off-road,TRA_OT_AGR,ch4,kt,1997,12.256
BAU,off-road,TRA_OT_RAI,ch4,kt,1997,4.372
BAU,off-road,TRA_OT_OTHER,ch4,kt,1997,8.41
BAU,off-road,TRA_OT_CNS,co2,Mt,1998,106.45
BAU,off-road,TRA_OT_AGR,co2,Mt,1998,212.054
BAU,off-road,TRA_OT_RAI,co2,Mt,1998,78.858
BAU,off-road,TRA_OT_OTHER,co2,Mt,1998,49.49581879327571
BAU,off-road,TRA_OT_CNS,bc,kt,1998,86.158
BAU,off-road,TRA_OT_AGR,bc,kt,1998,146.74
BAU,off-road,TRA_OT_RAI,bc,kt,1998,46.898
BAU,off-road,TRA_OT_OTHER,bc,kt,1998,3.5201467066147862
BAU,off-road,TRA_OT_CNS,ch4,kt,1998,6.024
BAU,off-road,TRA_OT_AGR,ch4,kt,1998,11.964
BAU,off-road,TRA_OT_RAI,ch4,kt,1998,4.458
BAU,off-road,TRA_OT_OTHER,ch4,kt,1998,8.13
BAU,off-road,TRA_OT_CNS,co2,Mt,1999,108.27
BAU,off-road,TRA_OT_AGR,co2,Mt,1999,206.822
BAU,off-road,TRA_OT_RAI,co2,Mt,1999,80.474
BAU,off-road,TRA_OT_OTHER,co2,Mt,1999,50.30086548945294
BAU,off-road,TRA_OT_CNS,bc,kt,1999,87.474
BAU,off-road,TRA_OT_AGR,bc,kt,1999,143.59
BAU,off-road,TRA_OT_RAI,bc,kt,1999,47.854
BAU,off-road,TRA_OT_OTHER,bc,kt,1999,3.3467615541454654
BAU,off-road,TRA_OT_CNS,ch4,kt,1999,6.132000000000001
BAU,off-road,TRA_OT_AGR,ch4,kt,1999,11.672
BAU,off-road,TRA_OT_RAI,ch4,kt,1999,4.544
BAU,off-road,TRA_OT_OTHER,ch4,kt,1999,7.8500000000000005
BAU,off-road,TRA_OT_CNS,co2,Mt,2000,110.09
BAU,off-road,TRA_OT_AGR,co2,Mt,2000,201.59
BAU,off-road,TRA_OT_RAI,co2,Mt,2000,82.09
BAU,off-road,TRA_OT_OTHER,co2,Mt,2000,51.10591218563016
BAU,off-road,TRA_OT_CNS,bc,kt,2000,88.79
BAU,off-road,TRA_OT_AGR,bc,kt,2000,140.44
BAU,off-road,TRA_OT_RAI,bc,kt,2000,48.81
BAU,off-road,TRA_OT_OTHER,bc,kt,2000,3.173376401676145
BAU,off-road,TRA_OT_CNS,ch4,kt,2000,6.24
BAU,off-road,TRA_OT_AGR,ch4,kt,2000,11.38
BAU,off-road,TRA_OT_RAI,ch4,kt,2000,4.63
BAU,off-road,TRA_OT_OTHER,ch4,kt,2000,7.57
BAU,off-road,TRA_OT_CNS,co2,Mt,2001,111.272
BAU,off-road,TRA_OT_AGR,co2,Mt,2001,206.724
BAU,off-road,TRA_OT_RAI,co2,Mt,2001,85.324
BAU,off-road,TRA_OT_OTHER,co2,Mt,2001,51.72640010758106
BAU,off-road,TRA_OT_CNS,bc,kt,2001,88.324
BAU,off-road,TRA_OT_AGR,bc,kt,2001,142.056
BAU,off-road,TRA_OT_RAI,bc,kt,2001,50.356
BAU,off-road,TRA_OT_OTHER,bc,kt,2001,3.4452271962885366
BAU,off-road,TRA_OT_CNS,ch4,kt,2001,6.306
BAU,off-road,TRA_OT_AGR,ch4,kt,2001,11.680000000000001
BAU,off-road,TRA_OT_RAI,ch4,kt,2001,4.82
BAU,off-road,TRA_OT_OTHER,ch4,kt,2001,7.63
BAU,off-road,TRA_OT_CNS,co2,Mt,2002,112.45400000000001
BAU,off-road,TRA_OT_AGR,co2,Mt,2002,211.858
BAU,off-road,TRA_OT_RAI,co2,Mt,2002,88.558
BAU,off-road,TRA_OT_OTHER,co2,Mt,2002,52.34688802953195
BAU,off-road,TRA_OT_CNS,bc,kt,2002,87.858
BAU,off-road,TRA_OT_AGR,bc,kt,2002,143.672
BAU,off-road,TRA_OT_RAI,bc,kt,2002,51.902
BAU,off-road,TRA_OT_OTHER,bc,kt,2002,3.717077990900928
BAU,off-road,TRA_OT_CNS,ch4,kt,2002,6.372
BAU,off-road,TRA_OT_AGR,ch4,kt,2002,11.98
BAU,off-road,TRA_OT_RAI,ch4,kt,2002,5.01
BAU,off-road,TRA_OT_OTHER,ch4,kt,2002,7.69
BAU,off-road,TRA_OT_CNS,co2,Mt,2003,113.636
BAU,off-road,TRA_OT_AGR,co2,Mt,2003,216.992
BAU,off-road,TRA_OT_RAI,co2,Mt,2003,91.792
BAU,off-road,TRA_OT_OTHER,co2,Mt,2003,52.96737595148284
BAU,off-road,TRA_OT_CNS,bc,kt,2003,87.392
BAU,off-road,TRA_OT_AGR,bc,kt,2003,145.288
BAU,off-road,TRA_OT_RAI,bc,kt,2003,53.448
BAU,off-road,TRA_OT_OTHER,bc,kt,2003,3.98892878551332
BAU,off-road,TRA_OT_CNS,ch4,kt,2003,6.438000000000001
BAU,off-road,TRA_OT_AGR,ch4,kt,2003,12.280000000000001
BAU,off-road,TRA_OT_RAI,ch4,kt,2003,5.2
BAU,off-road,TRA_OT_OTHER,ch4,kt,2003,7.75
BAU,off-road,TRA_OT_CNS,co2,Mt,2004,114.818
BAU,off-road,TRA_OT_AGR,co2,Mt,2004,222.126
BAU,off-road,TRA_OT_RAI,co2,Mt,2004,95.02600000000001
BAU,off-road,TRA_OT_OTHER,co2,Mt,2004,53.58786387343374
