Scenario,CY,RTK,MJ,Fuel (kg),CO2,H2O,OC,SO2,Sulphates,NOx,CO,HC,CH4,N2O,nvPM_mass,nvPM_num,ConEF,Stock,EnRoute,Payload,TechEff,AvoidancePenalty,CO2e,FuelEff
Baseline,2041,2.14614E+12,1.98589E+13,4.60229E+11,1711.43939,566.0595676,0.009196727,0.551803643,0.011229054,7.838920682,1.870824314,0.207777508,1.98588929,0.003971779,0.044737967,4.20E+17,1.2962E+12,57273.32885,1,1,0.85020185,1,1766.539874,9.25330718
Baseline,2042,2.21759E+12,2.04001E+13,4.72773E+11,1758.084128,581.4874962,0.009447381,0.566842877,0.011535087,8.102791876,1.922071139,0.213436625,2.040014073,0.004080028,0.045963123,4.31E+17,1.33551E+12,59359.72751,1,1,0.845289416,1,1814.686359,9.199247399
Baseline,2043,2.2917E+12,2.096E+13,4.85748E+11,1806.336256,597.4470382,0.009706673,0.582400366,0.01185167,8.377177772,1.975028596,0.219289126,2.09600401,0.004192008,0.047231506,4.43E+17,1.37616E+12,61541.31811,1,1,0.84046828,1,1864.491983,9.14606615
Baseline,2044,2.36859E+12,2.15371E+13,4.99121E+11,1856.065081,613.8949708,0.0099739,0.598433973,0.012177942,8.661609944,2.0295835,0.225320688,2.153707451,0.004307415,0.048539711,4.55E+17,1.41819E+12,63823.27191,1,1,0.835643112,1,1915.821848,9.092793945
Baseline,2045,2.44837E+12,2.213E+13,5.12863E+11,1907.166559,630.7968839,0.010248503,0.614910152,0.012513223,8.955729598,2.085653025,0.231520386,2.213003665,0.004426007,0.04988504,4.68E+17,1.46166E+12,66211.0832,1,1,0.830740754,1,1968.568558,9.038698602
Baseline,2046,2.53116E+12,2.27387E+13,5.26969E+11,1959.623244,648.1470094,0.010530388,0.631823278,0.012857398,9.259579972,2.143243074,0.237887783,2.273872412,0.004547745,0.051267089,4.81E+17,1.50663E+12,68710.59204,1,1,0.825733856,1,2022.714108,8.983532042
Baseline,2047,2.61709E+12,2.3364E+13,5.4146E+11,2013.508568,665.9696334,0.01081995,0.649197027,0.013210947,9.573648211,2.20244634,0.24443276,2.336398896,0.004672798,0.052687849,4.94E+17,1.55315E+12,71328.00863,1,1,0.820637578,1,2078.334292,8.927478192
Baseline,2048,2.70629E+12,2.40078E+13,5.5638E+11,2068.990667,684.3203672,0.011118093,0.667085609,0.013574975,9.898896313,2.263444793,0.251175833,2.400778217,0.004801556,0.054151734,5.08E+17,1.60129E+12,74069.93971,1,1,0.815504774,1,2135.60266,8.871101231
Baseline,2049,2.79891E+12,2.46725E+13,5.71785E+11,2126.27635,703.2676181,0.011425928,0.685555705,0.013950838,10.2365071,2.326448307,0.258140791,2.467250348,0.004934501,0.055664006,5.22E+17,1.65111E+12,76943.41687,1,1,0.810399037,1,2194.732678,8.815048292
Baseline,2050,2.89508E+12,2.53605E+13,5.87729E+11,2185.570279,722.8790928,0.011744555,0.7046733,0.014339878,10.58768619,2.391653879,0.265349789,2.536052772,0.005072106,0.057229601,5.37E+17,1.70267E+12,79955.92728,1,1,0.805376831,1,2255.935599,8.759865202
