Scenario,Sector,Species,Units,Year,ems,Source
BAU,Construction,co2,Mt,2030,258.71,TTW
BAU,Construction,bc,kt,2030,93.89,TTW
BAU,Construction,ch4,kt,2030,15.34,TTW
BAU,Construction,co2,Mt,2031,261.662,TTW
BAU,Construction,bc,kt,2031,95.092,TTW
BAU,Construction,ch4,kt,2031,15.526,TTW
BAU,Construction,co2,Mt,2032,264.614,TTW
BAU,Construction,bc,kt,2032,96.294,TTW
BAU,Construction,ch4,kt,2032,15.712,TTW
BAU,Construction,co2,Mt,2033,267.56600000000003,TTW
BAU,Construction,bc,kt,2033,97.49600000000001,TTW
BAU,Construction,ch4,kt,2033,15.898,TTW
BAU,Construction,co2,Mt,2034,270.51800000000003,TTW
BAU,Construction,bc,kt,2034,98.69800000000001,TTW
BAU,Construction,ch4,kt,2034,16.084,TTW
BAU,Construction,co2,Mt,2035,273.47,TTW
BAU,Construction,bc,kt,2035,99.9,TTW
BAU,Construction,ch4,kt,2035,16.27,TTW
BAU,Construction,co2,Mt,2036,276.19,TTW
BAU,Construction,bc,kt,2036,101.08200000000001,TTW
BAU,Construction,ch4,kt,2036,16.46,TTW
BAU,Construction,co2,Mt,2037,278.91,TTW
BAU,Construction,bc,kt,2037,102.26400000000001,TTW
BAU,Construction,ch4,kt,2037,16.65,TTW
BAU,Construction,co2,Mt,2038,281.63,TTW
BAU,Construction,bc,kt,2038,103.446,TTW
BAU,Construction,ch4,kt,2038,16.84,TTW
BAU,Construction,co2,Mt,2039,284.35,TTW
BAU,Construction,bc,kt,2039,104.628,TTW
BAU,Construction,ch4,kt,2039,17.029999999999998,TTW
BAU,Construction,co2,Mt,2040,287.07,TTW
BAU,Construction,bc,kt,2040,105.81,TTW
BAU,Construction,ch4,kt,2040,17.22,TTW
BAU,Construction,co2,Mt,2041,286.628,TTW
BAU,Construction,bc,kt,2041,105.73,TTW
BAU,Construction,ch4,kt,2041,17.204,TTW
BAU,Construction,co2,Mt,2042,286.186,TTW
BAU,Construction,bc,kt,2042,105.65,TTW
BAU,Construction,ch4,kt,2042,17.188,TTW
BAU,Construction,co2,Mt,2043,285.744,TTW
BAU,Construction,bc,kt,2043,105.57,TTW
BAU,Construction,ch4,kt,2043,17.172,TTW
BAU,Construction,co2,Mt,2044,285.302,TTW
BAU,Construction,bc,kt,2044,105.49,TTW
BAU,Construction,ch4,kt,2044,17.156,TTW
BAU,Construction,co2,Mt,2045,284.86,TTW
BAU,Construction,bc,kt,2045,105.41,TTW
BAU,Construction,ch4,kt,2045,17.14,TTW
BAU,Construction,co2,Mt,2046,283.818,TTW
BAU,Construction,bc,kt,2046,105.286,TTW
BAU,Construction,ch4,kt,2046,17.088,TTW
BAU,Construction,co2,Mt,2047,282.776,TTW
BAU,Construction,bc,kt,2047,105.162,TTW
BAU,Construction,ch4,kt,2047,17.036,TTW
BAU,Construction,co2,Mt,2048,281.734,TTW
BAU,Construction,bc,kt,2048,105.038,TTW
BAU,Construction,ch4,kt,2048,16.983999999999998,TTW
BAU,Construction,co2,Mt,2049,280.692,TTW
BAU,Construction,bc,kt,2049,104.914,TTW
BAU,Construction,ch4,kt,2049,16.932,TTW
BAU,Construction,co2,Mt,2050,279.65,TTW
BAU,Construction,bc,kt,2050,104.79,TTW
BAU,Construction,ch4,kt,2050,16.88,TTW
Striving,Construction,co2,Mt,1990,122.0,TTW
Striving,Construction,bc,kt,1990,98.19,TTW
Striving,Construction,ch4,kt,1990,6.91,TTW
Striving,Construction,co2,Mt,1991,117.798,TTW
Striving,Construction,bc,kt,1991,94.994,TTW
Striving,Construction,ch4,kt,1991,6.668,TTW
Striving,Construction,co2,Mt,1992,113.596,TTW
Striving,Construction,bc,kt,1992,91.798,TTW
Striving,Construction,ch4,kt,1992,6.426,TTW
Striving,Construction,co2,Mt,1993,109.394,TTW
Striving,Construction,bc,kt,1993,88.602,TTW
Striving,Construction,ch4,kt,1993,6.184,TTW
Striving,Construction,co2,Mt,1994,105.192,TTW
Striving,Construction,bc,kt,1994,85.40599999999999,TTW
Striving,Construction,ch4,kt,1994,5.942,TTW
Striving,Construction,co2,Mt,1995,100.99,TTW
Striving,Construction,bc,kt,1995,82.21,TTW
Striving,Construction,ch4,kt,1995,5.7,TTW
Striving,Construction,co2,Mt,1996,102.81,TTW
Striving,Construction,bc,kt,1996,83.526,TTW
