Scenario,Sector,Species,Units,Year,ems,Source
BAU,Construction,ch4,kt,2002,531.141359455525,WTT
BAU,Construction,ch4,kt,2003,536.7241674203501,WTT
BAU,Construction,ch4,kt,2004,542.3069753851751,WTT
BAU,Construction,ch4,kt,2005,547.88978335,WTT
BAU,Construction,ch4,kt,2006,551.1204437966501,WTT
BAU,Construction,ch4,kt,2007,554.3511042433,WTT
BAU,Construction,ch4,kt,2008,557.5817646899501,WTT
BAU,Construction,ch4,kt,2009,560.8124251366,WTT
BAU,Construction,ch4,kt,2010,564.04308558325,WTT
BAU,Construction,ch4,kt,2011,579.4217850193501,WTT
BAU,Construction,ch4,kt,2012,594.8004844554501,WTT
BAU,Construction,ch4,kt,2013,610.17918389155,WTT
BAU,Construction,ch4,kt,2014,625.55788332765,WTT
BAU,Construction,ch4,kt,2015,640.9365827637499,WTT
BAU,Construction,ch4,kt,2016,757.495410983675,WTT
BAU,Construction,ch4,kt,2017,874.0542392036,WTT
BAU,Construction,ch4,kt,2018,990.6130674235251,WTT
BAU,Construction,ch4,kt,2019,1107.17189564345,WTT
BAU,Construction,ch4,kt,2020,1223.7307238633748,WTT
BAU,Construction,ch4,kt,2021,1229.152943443425,WTT
BAU,Construction,ch4,kt,2022,1234.575163023475,WTT
BAU,Construction,ch4,kt,2023,1239.9973826035252,WTT
BAU,Construction,ch4,kt,2024,1245.419602183575,WTT
BAU,Construction,ch4,kt,2025,1250.8418217636251,WTT
BAU,Construction,ch4,kt,2026,1245.0606399117253,WTT
BAU,Construction,ch4,kt,2027,1239.279458059825,WTT
BAU,Construction,ch4,kt,2028,1233.4982762079248,WTT
BAU,Construction,ch4,kt,2029,1227.717094356025,WTT
BAU,Construction,ch4,kt,2030,1221.935912504125,WTT
BAU,Construction,ch4,kt,2031,1235.878762852825,WTT
BAU,Construction,ch4,kt,2032,1249.821613201525,WTT
BAU,Construction,ch4,kt,2033,1263.7644635502254,WTT
BAU,Construction,ch4,kt,2034,1277.7073138989253,WTT
BAU,Construction,ch4,kt,2035,1291.6501642476253,WTT
BAU,Construction,ch4,kt,2036,1304.497235029625,WTT
BAU,Construction,ch4,kt,2037,1317.3443058116254,WTT
BAU,Construction,ch4,kt,2038,1330.1913765936251,WTT
BAU,Construction,ch4,kt,2039,1343.0384473756253,WTT
BAU,Construction,ch4,kt,2040,1355.885518157625,WTT
BAU,Construction,ch4,kt,2041,1353.7978691555502,WTT
BAU,Construction,ch4,kt,2042,1351.7102201534751,WTT
BAU,Construction,ch4,kt,2043,1349.6225711514003,WTT
BAU,Construction,ch4,kt,2044,1347.534922149325,WTT
BAU,Construction,ch4,kt,2045,1345.4472731472501,WTT
BAU,Construction,ch4,kt,2046,1340.525711472675,WTT
BAU,Construction,ch4,kt,2047,1335.6041497981003,WTT
BAU,Construction,ch4,kt,2048,1330.6825881235252,WTT
BAU,Construction,ch4,kt,2049,1325.7610264489501,WTT
BAU,Construction,ch4,kt,2050,1320.8394647743748,WTT
Striving,Construction,ch4,kt,1990,576.228910075,WTT
Striving,Construction,ch4,kt,1991,556.382074991925,WTT
Striving,Construction,ch4,kt,1992,536.53523990885,WTT
Striving,Construction,ch4,kt,1993,516.688404825775,WTT
Striving,Construction,ch4,kt,1994,496.8415697427,WTT
Striving,Construction,ch4,kt,1995,476.994734659625,WTT
Striving,Construction,ch4,kt,1996,485.590936432875,WTT
Striving,Construction,ch4,kt,1997,494.18713820612504,WTT
Striving,Construction,ch4,kt,1998,502.78333997937506,WTT
Striving,Construction,ch4,kt,1999,511.379541752625,WTT
Striving,Construction,ch4,kt,2000,519.975743525875,WTT
Striving,Construction,ch4,kt,2001,525.5585514907001,WTT
Striving,Construction,ch4,kt,2002,531.141359455525,WTT
Striving,Construction,ch4,kt,2003,536.7241674203501,WTT
Striving,Construction,ch4,kt,2004,542.3069753851751,WTT
Striving,Construction,ch4,kt,2005,547.88978335,WTT
Striving,Construction,ch4,kt,2006,551.1204437966501,WTT
Striving,Construction,ch4,kt,2007,554.3511042433,WTT
Striving,Construction,ch4,kt,2008,557.5817646899501,WTT
Striving,Construction,ch4,kt,2009,560.8124251366,WTT
Striving,Construction,ch4,kt,2010,564.04308558325,WTT
Striving,Construction,ch4,kt,2011,579.4217850193501,WTT
Striving,Construction,ch4,kt,2012,594.8004844554501,WTT
Striving,Construction,ch4,kt,2013,610.17918389155,WTT
Striving,Construction,ch4,kt,2014,625.55788332765,WTT
Striving,Construction,ch4,kt,2015,640.9365827637499,WTT
Striving,Construction,ch4,kt,2016,757.495410983675,WTT
Striving,Construction,ch4,kt,2017,874.0542392036,WTT
Striving,Construction,ch4,kt,2018,990.6130674235251,WTT
Striving,Construction,ch4,kt,2019,1107.17189564345,WTT
Striving,Construction,ch4,kt,2020,1223.7307238633748,WTT
Striving,Construction,ch4,kt,2021,1196.3755316182671,WTT
Striving,Construction,ch4,kt,2022,1168.7311543288897,WTT
Striving,Construction,ch4,kt,2023,1140.7975919952432,WTT
Striving,Construction,ch4,kt,2024,1112.574844617327,WTT
Striving,Construction,ch4,kt,2025,1084.0629121951417,WTT
Striving,Construction,ch4,kt,2026,1045.850937525849,WTT
Striving,Construction,ch4,kt,2027,1007.9472925553246,WTT
Striving,Construction,ch4,kt,2028,970.3519772835674,WTT
Striving,Construction,ch4,kt,2029,933.0649917105792,WTT
Striving,Construction,ch4,kt,2030,896.0863358363584,WTT
Striving,Construction,ch4,kt,2031,873.3543257493296,WTT
Striving,Construction,ch4,kt,2032,849.8786969770371,WTT
Striving,Construction,ch4,kt,2033,825.6594495194806,WTT
Striving,Construction,ch4,kt,2034,800.6965833766599,WTT
Striving,Construction,ch4,kt,2035,774.9900985485752,WTT
Striving,Construction,ch4,kt,2036,730.5184516165901,WTT
Striving,Construction,ch4,kt,2037,685.0190390220453,WTT
Striving,Construction,ch4,kt,2038,638.4918607649402,WTT
Striving,Construction,ch4,kt,2039,590.936916845275,WTT
Striving,Construction,ch4,kt,2040,542.35420726305,WTT
Striving,Construction,ch4,kt,2041,487.3672328959981,WTT
Striving,Construction,ch4,kt,2042,432.547270449112,WTT
Striving,Construction,ch4,kt,2043,377.8943199223921,WTT
Striving,Construction,ch4,kt,2044,323.408381315838,WTT
Striving,Construction,ch4,kt,2045,269.08945462944996,WTT
Striving,Construction,ch4,kt,2046,214.4841138356279,WTT
Striving,Construction,ch4,kt,2047,160.272497975772,WTT
Striving,Construction,ch4,kt,2048,106.45460704988194,WTT
Striving,Construction,ch4,kt,2049,53.03044105795791,WTT
Striving,Construction,ch4,kt,2050,0.0,WTT
BAU,Construction,n2o,kt,1990,1.2311673920000001,WTT
BAU,Construction,n2o,kt,1991,1.188762757728,WTT
BAU,Construction,n2o,kt,1992,1.146358123456,WTT
BAU,Construction,n2o,kt,1993,1.1039534891840002,WTT
BAU,Construction,n2o,kt,1994,1.061548854912,WTT
BAU,Construction,n2o,kt,1995,1.01914422064,WTT
BAU,Construction,n2o,kt,1996,1.0375108161600002,WTT
BAU,Construction,n2o,kt,1997,1.05587741168,WTT
BAU,Construction,n2o,kt,1998,1.0742440072000001,WTT
BAU,Construction,n2o,kt,1999,1.09261060272,WTT
BAU,Construction,n2o,kt,2000,1.11097719824,WTT
BAU,Construction,n2o,kt,2001,1.1229053937920002,WTT
BAU,Construction,n2o,kt,2002,1.1348335893440002,WTT
BAU,Construction,n2o,kt,2003,1.1467617848960001,WTT
BAU,Construction,n2o,kt,2004,1.158689980448,WTT
BAU,Construction,n2o,kt,2005,1.170618176,WTT
BAU,Construction,n2o,kt,2006,1.177520786624,WTT
BAU,Construction,n2o,kt,2007,1.1844233972480003,WTT
BAU,Construction,n2o,kt,2008,1.191326007872,WTT
BAU,Construction,n2o,kt,2009,1.198228618496,WTT
BAU,Construction,n2o,kt,2010,1.2051312291200003,WTT
BAU,Construction,n2o,kt,2011,1.237989270336,WTT
BAU,Construction,n2o,kt,2012,1.270847311552,WTT
BAU,Construction,n2o,kt,2013,1.303705352768,WTT
BAU,Construction,n2o,kt,2014,1.3365633939839998,WTT
BAU,Construction,n2o,kt,2015,1.3694214351999998,WTT
BAU,Construction,n2o,kt,2016,1.618460360608,WTT
BAU,Construction,n2o,kt,2017,1.867499286016,WTT
BAU,Construction,n2o,kt,2018,2.1165382114240003,WTT
BAU,Construction,n2o,kt,2019,2.365577136832,WTT
BAU,Construction,n2o,kt,2020,2.61461606224,WTT
BAU,Construction,n2o,kt,2021,2.6262011455680003,WTT
BAU,Construction,n2o,kt,2022,2.6377862288959997,WTT
BAU,Construction,n2o,kt,2023,2.6493713122240004,WTT
BAU,Construction,n2o,kt,2024,2.6609563955519997,WTT
BAU,Construction,n2o,kt,2025,2.6725414788800004,WTT
BAU,Construction,n2o,kt,2026,2.6601894388160003,WTT
BAU,Construction,n2o,kt,2027,2.647837398752,WTT
BAU,Construction,n2o,kt,2028,2.635485358688,WTT
BAU,Construction,n2o,kt,2029,2.623133318624,WTT
BAU,Construction,n2o,kt,2030,2.61078127856,WTT
BAU,Construction,n2o,kt,2031,2.640571492832,WTT
BAU,Construction,n2o,kt,2032,2.6703617071039996,WTT
BAU,Construction,n2o,kt,2033,2.7001519213760004,WTT
BAU,Construction,n2o,kt,2034,2.7299421356480007,WTT
BAU,Construction,n2o,kt,2035,2.7597323499200006,WTT
BAU,Construction,n2o,kt,2036,2.7871813278400004,WTT
BAU,Construction,n2o,kt,2037,2.814630305760001,WTT
BAU,Construction,n2o,kt,2038,2.8420792836800004,WTT
BAU,Construction,n2o,kt,2039,2.8695282616000006,WTT
BAU,Construction,n2o,kt,2040,2.89697723952,WTT
BAU,Construction,n2o,kt,2041,2.8925167806080005,WTT
BAU,Construction,n2o,kt,2042,2.8880563216960002,WTT
BAU,Construction,n2o,kt,2043,2.8835958627840004,WTT
BAU,Construction,n2o,kt,2044,2.8791354038720005,WTT
BAU,Construction,n2o,kt,2045,2.87467494496,WTT
BAU,Construction,n2o,kt,2046,2.8641595644480002,WTT
BAU,Construction,n2o,kt,2047,2.853644183936,WTT
BAU,Construction,n2o,kt,2048,2.8431288034240003,WTT
BAU,Construction,n2o,kt,2049,2.8326134229120004,WTT
BAU,Construction,n2o,kt,2050,2.8220980424,WTT
Striving,Construction,n2o,kt,1990,1.2311673920000001,WTT
Striving,Construction,n2o,kt,1991,1.188762757728,WTT
Striving,Construction,n2o,kt,1992,1.146358123456,WTT
Striving,Construction,n2o,kt,1993,1.1039534891840002,WTT
Striving,Construction,n2o,kt,1994,1.061548854912,WTT
Striving,Construction,n2o,kt,1995,1.01914422064,WTT
Striving,Construction,n2o,kt,1996,1.0375108161600002,WTT
Striving,Construction,n2o,kt,1997,1.05587741168,WTT
Striving,Construction,n2o,kt,1998,1.0742440072000001,WTT
Striving,Construction,n2o,kt,1999,1.09261060272,WTT
Striving,Construction,n2o,kt,2000,1.11097719824,WTT
Striving,Construction,n2o,kt,2001,1.1229053937920002,WTT
Striving,Construction,n2o,kt,2002,1.1348335893440002,WTT
Striving,Construction,n2o,kt,2003,1.1467617848960001,WTT
Striving,Construction,n2o,kt,2004,1.158689980448,WTT
Striving,Construction,n2o,kt,2005,1.170618176,WTT
Striving,Construction,n2o,kt,2006,1.177520786624,WTT
Striving,Construction,n2o,kt,2007,1.1844233972480003,WTT
Striving,Construction,n2o,kt,2008,1.191326007872,WTT
Striving,Construction,n2o,kt,2009,1.198228618496,WTT
Striving,Construction,n2o,kt,2010,1.2051312291200003,WTT
Striving,Construction,n2o,kt,2011,1.237989270336,WTT
Striving,Construction,n2o,kt,2012,1.270847311552,WTT
Striving,Construction,n2o,kt,2013,1.303705352768,WTT
Striving,Construction,n2o,kt,2014,1.3365633939839998,WTT
Striving,Construction,n2o,kt,2015,1.3694214351999998,WTT
Striving,Construction,n2o,kt,2016,1.618460360608,WTT
Striving,Construction,n2o,kt,2017,1.867499286016,WTT
Striving,Construction,n2o,kt,2018,2.1165382114240003,WTT
Striving,Construction,n2o,kt,2019,2.365577136832,WTT
Striving,Construction,n2o,kt,2020,2.61461606224,WTT
Striving,Construction,n2o,kt,2021,2.5561691150195203,WTT
Striving,Construction,n2o,kt,2022,2.4971042966882133,WTT
Striving,Construction,n2o,kt,2023,2.43742160724608,WTT
Striving,Construction,n2o,kt,2024,2.37712104669312,WTT
Striving,Construction,n2o,kt,2025,2.3162026150293333,WTT
Striving,Construction,n2o,kt,2026,2.2345591286054405,WTT
Striving,Construction,n2o,kt,2027,2.1535744176516274,WTT
Striving,Construction,n2o,kt,2028,2.073248482167893,WTT
Striving,Construction,n2o,kt,2029,1.9935813221542402,WTT
Striving,Construction,n2o,kt,2030,1.9145729376106668,WTT
Striving,Construction,n2o,kt,2031,1.8660038549346134,WTT
Striving,Construction,n2o,kt,2032,1.81584596083072,WTT
Striving,Construction,n2o,kt,2033,1.7640992552989874,WTT
Striving,Construction,n2o,kt,2034,1.7107637383394134,WTT
Striving,Construction,n2o,kt,2035,1.6558394099520004,WTT
Striving,Construction,n2o,kt,2036,1.5608215435904,WTT
Striving,Construction,n2o,kt,2037,1.4636077589952003,WTT
Striving,Construction,n2o,kt,2038,1.3641980561664,WTT
Striving,Construction,n2o,kt,2039,1.262592435104,WTT
Striving,Construction,n2o,kt,2040,1.158790895808,WTT
Striving,Construction,n2o,kt,2041,1.0413060410188801,WTT
Striving,Construction,n2o,kt,2042,0.9241780229427199,WTT
Striving,Construction,n2o,kt,2043,0.8074068415795201,WTT
Striving,Construction,n2o,kt,2044,0.6909924969292801,WTT
Striving,Construction,n2o,kt,2045,0.5749349889919999,WTT
Striving,Construction,n2o,kt,2046,0.4582655303116798,WTT
Striving,Construction,n2o,kt,2047,0.34243730207232,WTT
Striving,Construction,n2o,kt,2048,0.2274503042739199,WTT
Striving,Construction,n2o,kt,2049,0.1133045369164798,WTT
Striving,Construction,n2o,kt,2050,0.0,WTT
BAU,Construction,bc,kt,1990,0.877962813,WTT
BAU,Construction,bc,kt,1991,0.8477234708670002,WTT
BAU,Construction,bc,kt,1992,0.8174841287340001,WTT
BAU,Construction,bc,kt,1993,0.7872447866010002,WTT
BAU,Construction,bc,kt,1994,0.7570054444680001,WTT
BAU,Construction,bc,kt,1995,0.726766102335,WTT
BAU,Construction,bc,kt,1996,0.7398635803650001,WTT
BAU,Construction,bc,kt,1997,0.7529610583950002,WTT
BAU,Construction,bc,kt,1998,0.7660585364250001,WTT
BAU,Construction,bc,kt,1999,0.779156014455,WTT
BAU,Construction,bc,kt,2000,0.7922534924850001,WTT
BAU,Construction,bc,kt,2001,0.8007596567880002,WTT
BAU,Construction,bc,kt,2002,0.8092658210910001,WTT
BAU,Construction,bc,kt,2003,0.8177719853940001,WTT
BAU,Construction,bc,kt,2004,0.8262781496970001,WTT
BAU,Construction,bc,kt,2005,0.8347843140000001,WTT
BAU,Construction,bc,kt,2006,0.839706662886,WTT
BAU,Construction,bc,kt,2007,0.8446290117720001,WTT
BAU,Construction,bc,kt,2008,0.8495513606580002,WTT
BAU,Construction,bc,kt,2009,0.854473709544,WTT
BAU,Construction,bc,kt,2010,0.8593960584300001,WTT
BAU,Construction,bc,kt,2011,0.8828275905540001,WTT
BAU,Construction,bc,kt,2012,0.9062591226780001,WTT
BAU,Construction,bc,kt,2013,0.929690654802,WTT
BAU,Construction,bc,kt,2014,0.9531221869259999,WTT
BAU,Construction,bc,kt,2015,0.97655371905,WTT
BAU,Construction,bc,kt,2016,1.154146885437,WTT
BAU,Construction,bc,kt,2017,1.331740051824,WTT
BAU,Construction,bc,kt,2018,1.5093332182110002,WTT
BAU,Construction,bc,kt,2019,1.6869263845979998,WTT
BAU,Construction,bc,kt,2020,1.864519550985,WTT
BAU,Construction,bc,kt,2021,1.8727810371270002,WTT
BAU,Construction,bc,kt,2022,1.881042523269,WTT
BAU,Construction,bc,kt,2023,1.889304009411,WTT
BAU,Construction,bc,kt,2024,1.897565495553,WTT
BAU,Construction,bc,kt,2025,1.9058269816950002,WTT
BAU,Construction,bc,kt,2026,1.8970185678990004,WTT
BAU,Construction,bc,kt,2027,1.8882101541030003,WTT
BAU,Construction,bc,kt,2028,1.879401740307,WTT
BAU,Construction,bc,kt,2029,1.870593326511,WTT
BAU,Construction,bc,kt,2030,1.8617849127150004,WTT
BAU,Construction,bc,kt,2031,1.8830287342229999,WTT
BAU,Construction,bc,kt,2032,1.9042725557309998,WTT
BAU,Construction,bc,kt,2033,1.9255163772390005,WTT
BAU,Construction,bc,kt,2034,1.9467601987470007,WTT
BAU,Construction,bc,kt,2035,1.9680040202550004,WTT
BAU,Construction,bc,kt,2036,1.9875782731350005,WTT
BAU,Construction,bc,kt,2037,2.0071525260150005,WTT
BAU,Construction,bc,kt,2038,2.0267267788950005,WTT
BAU,Construction,bc,kt,2039,2.0463010317750006,WTT
BAU,Construction,bc,kt,2040,2.065875284655,WTT
BAU,Construction,bc,kt,2041,2.0626944685620003,WTT
BAU,Construction,bc,kt,2042,2.059513652469,WTT
BAU,Construction,bc,kt,2043,2.0563328363760007,WTT
BAU,Construction,bc,kt,2044,2.0531520202830005,WTT
BAU,Construction,bc,kt,2045,2.0499712041900002,WTT
BAU,Construction,bc,kt,2046,2.0424725381970004,WTT
BAU,Construction,bc,kt,2047,2.0349738722040005,WTT
BAU,Construction,bc,kt,2048,2.027475206211,WTT
BAU,Construction,bc,kt,2049,2.0199765402180003,WTT
BAU,Construction,bc,kt,2050,2.012477874225,WTT
Striving,Construction,bc,kt,1990,0.877962813,WTT
Striving,Construction,bc,kt,1991,0.8477234708670002,WTT
Striving,Construction,bc,kt,1992,0.8174841287340001,WTT
Striving,Construction,bc,kt,1993,0.7872447866010002,WTT
Striving,Construction,bc,kt,1994,0.7570054444680001,WTT
Striving,Construction,bc,kt,1995,0.726766102335,WTT
Striving,Construction,bc,kt,1996,0.7398635803650001,WTT
Striving,Construction,bc,kt,1997,0.7529610583950002,WTT
Striving,Construction,bc,kt,1998,0.7660585364250001,WTT
Striving,Construction,bc,kt,1999,0.779156014455,WTT
Striving,Construction,bc,kt,2000,0.7922534924850001,WTT
Striving,Construction,bc,kt,2001,0.8007596567880002,WTT
Striving,Construction,bc,kt,2002,0.8092658210910001,WTT
Striving,Construction,bc,kt,2003,0.8177719853940001,WTT
Striving,Construction,bc,kt,2004,0.8262781496970001,WTT
Striving,Construction,bc,kt,2005,0.8347843140000001,WTT
Striving,Construction,bc,kt,2006,0.839706662886,WTT
Striving,Construction,bc,kt,2007,0.8446290117720001,WTT
Striving,Construction,bc,kt,2008,0.8495513606580002,WTT
Striving,Construction,bc,kt,2009,0.854473709544,WTT
Striving,Construction,bc,kt,2010,0.8593960584300001,WTT
Striving,Construction,bc,kt,2011,0.8828275905540001,WTT
Striving,Construction,bc,kt,2012,0.9062591226780001,WTT
Striving,Construction,bc,kt,2013,0.929690654802,WTT
Striving,Construction,bc,kt,2014,0.9531221869259999,WTT
Striving,Construction,bc,kt,2015,0.97655371905,WTT
Striving,Construction,bc,kt,2016,1.154146885437,WTT
Striving,Construction,bc,kt,2017,1.331740051824,WTT
Striving,Construction,bc,kt,2018,1.5093332182110002,WTT
Striving,Construction,bc,kt,2019,1.6869263845979998,WTT
Striving,Construction,bc,kt,2020,1.864519550985,WTT
Striving,Construction,bc,kt,2021,1.8228402094702802,WTT
Striving,Construction,bc,kt,2022,1.7807202553613202,WTT
Striving,Construction,bc,kt,2023,1.7381596886581203,WTT
Striving,Construction,bc,kt,2024,1.69515850936068,WTT
Striving,Construction,bc,kt,2025,1.6517167174690002,WTT
Striving,Construction,bc,kt,2026,1.59349559703516,WTT
Striving,Construction,bc,kt,2027,1.5357442586704404,WTT
Striving,Construction,bc,kt,2028,1.4784627023748398,WTT
Striving,Construction,bc,kt,2029,1.42165092814836,WTT
Striving,Construction,bc,kt,2030,1.365308935991,WTT
Striving,Construction,bc,kt,2031,1.33067363885092,WTT
Striving,Construction,bc,kt,2032,1.29490533789708,WTT
Striving,Construction,bc,kt,2033,1.2580040331294804,WTT
Striving,Construction,bc,kt,2034,1.21996972454812,WTT
Striving,Construction,bc,kt,2035,1.180802412153,WTT
Striving,Construction,bc,kt,2036,1.1130438329556,WTT
Striving,Construction,bc,kt,2037,1.0437193135278002,WTT
Striving,Construction,bc,kt,2038,0.9728288538696002,WTT
Striving,Construction,bc,kt,2039,0.9003724539810001,WTT
Striving,Construction,bc,kt,2040,0.826350113862,WTT
Striving,Construction,bc,kt,2041,0.74257000868232,WTT
Striving,Construction,bc,kt,2042,0.6590443687900799,WTT
Striving,Construction,bc,kt,2043,0.5757731941852802,WTT
Striving,Construction,bc,kt,2044,0.49275648486792006,WTT
Striving,Construction,bc,kt,2045,0.40999424083799996,WTT
Striving,Construction,bc,kt,2046,0.3267956061115199,WTT
Striving,Construction,bc,kt,2047,0.24419686466448004,WTT
Striving,Construction,bc,kt,2048,0.16219801649687993,WTT
Striving,Construction,bc,kt,2049,0.08079906160871986,WTT
Striving,Construction,bc,kt,2050,0.0,WTT
