Scenario,Sector,Source,Species,Units,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Striving,Marine,TTW,bc,t,76519.15,76785.64,83359.65,84893.4,86949.93,53760.61,53320.94,50569.58,42493.47,37198.28,34656.66,31987.97,29246.99,26487.31,23719.02,20848.11,17969.42,15041.12,12088.07,9080.62,6058,3017.77,2999.08,2956.22,0,0,0,0,0,0,0
BAU,Aviation,TTW,contrails,mW/m2,36.3,40.17,49.02,57.4,64.61,74.77,76.42,78.11,79.84,81.58,83.39,85.2,87.04,88.89,90.78,92.68,94.64,96.63,98.74,100.91,103.19,105.6,108.09,110.73,113.46,116.3,119.22,122.26,125.39,128.64,131.99
Striving,Aviation,TTW,contrails,mW/m2,36.16,39.86,48.44,56.49,63.32,70.3,70.21,70.09,69.95,69.77,69.37,68.18,66.91,65.53,64.06,61.42,58.63,55.73,52.73,49.62,46.38,43.46,40.39,37.13,33.58,29.58,24.83,18.73,8.41,0,0
BAU,off-road,TTW,co2,Mt,1135.42,1144.84,1154.26,1163.68,1173.1,1182.52,1189.486,1196.452,1203.418,1210.384,1217.35,1228.774,1240.198,1251.622,1263.046,1274.47,1286.006,1297.542,1309.078,1320.614,1332.15,1340.508,1348.866,1357.224,1365.582,1373.94,1379.218,1384.496,1389.774,1395.052,1400.33
BAU,off-road,TTW,bc,kt,348.57,344.352,340.134,335.916,331.698,327.48,324.924,322.368,319.812,317.256,314.7,316.138,317.576,319.014,320.452,321.89,323.288,324.686,326.084,327.482,328.88,328.648,328.416,328.184,327.952,327.72,326.35,324.98,323.61,322.24,320.87
BAU,off-road,TTW,ch4,kt,61.95,62.22,62.49,62.76,63.03,63.3,63.432,63.564,63.696,63.828,63.96,64.266,64.572,64.878,65.184,65.49,65.72,65.95,66.18,66.41,66.64,66.562,66.484,66.406,66.328,66.25,65.93,65.61,65.29,64.97,64.65
Striving,off-road,TTW,co2,Mt,1135.46,1118.593933,1101.727867,1084.8618,1067.995733,1051.129667,1034.2636,1017.397533,1000.531467,983.6654,966.7993333,949.9332667,933.0672,916.2011333,899.3350667,882.469,848.2285667,813.9881333,779.7477,745.5072667,711.2668333,677.0264,642.7859667,608.5455333,574.3051,540.0646667,505.8242333,471.5838,437.3433667,403.1029333,368.8625
Striving,off-road,TTW,bc,kt,252.12,247.1154667,242.1109333,237.1064,232.1018667,227.0973333,222.0928,217.0882667,212.0837333,207.0792,202.0746667,197.0701333,192.0656,187.0610667,182.0565333,177.052,169.5585333,162.0650667,154.5716,147.0781333,139.5846667,132.0912,124.5977333,117.1042667,109.6108,102.1173333,94.62386667,87.1304,79.63693333,72.14346667,64.65
Striving,off-road,TTW,ch4,kt,33.49,33.196,32.902,32.608,32.314,32.02,31.726,31.432,31.138,30.844,30.55,30.256,29.962,29.668,29.374,29.08,28.83066667,28.58133333,28.332,28.08266667,27.83333333,27.584,27.33466667,27.08533333,26.836,26.58666667,26.33733333,26.088,25.83866667,25.58933333,25.34
BAU,Aviation,WTT,co2,Tg,97.95202541,108.3882461394430,132.2473913996030,154.8704882542410,174.3314517760610,201.7414216886140,206.2009859672320,210.7434757921960,215.4119221546040,220.1237074907110,224.9844418559440,229.8670706205160,234.8430669020950,239.8347061477780,244.9321798708220,250.0650108292610,255.3491811198850,260.7254346728640,266.4138228625840,272.2699413093740,278.4285954532760,284.9136939111130,291.6251394100310,298.7616168849850,306.1159940495550,313.7991635764770,321.6770055307520,329.8666031407600,338.3190076848490,347.0737426866180,356.1310426411510
BAU,Aviation,WTT,ch4,Tg,0.826326265,0.91436654,1.115643015,1.306492148,1.470665428,1.701896767,1.739517787,1.777838369,1.817221525,1.856970289,1.897975592,1.939165597,1.981143253,2.023252873,2.066255316,2.109556034,2.154133456,2.199487694,2.24747511,2.296877503,2.348832097,2.403540584,2.460158543,2.520362084,2.582403833,2.647219285,2.713676999,2.782764693,2.854069435,2.927924646,3.004332304
BAU,Aviation,WTT,n2o,Tg,0.001436981,0.001590083,0.001940103,0.00227199,0.002557487,0.002959598,0.003025021,0.003091661,0.003160148,0.003229271,0.00330058,0.003372209,0.003445208,0.003518437,0.003593218,0.003668518,0.003746038,0.003824909,0.003908359,0.00399427,0.004084619,0.004179757,0.004278216,0.00438291,0.0044908,0.004603514,0.004719084,0.004839228,0.004963227,0.005091661,0.005224534
